"gene","logFC","logCPM","PValue","FDR","topDE"
"AC103591.3",1.41521898101729,5.19724872884849,2.06728036369975e-09,6.4572502457112e-07,"Up"
"AC009065.3",-0.956453937195647,5.19665314279357,2.34618282953809e-09,7.2120915360055e-07,"NA"
"HORMAD1",1.24757448052566,5.37927710621928,2.38792309610471e-09,7.22570604361935e-07,"Up"
"SNRPGP10",1.33045126230088,5.27018183109232,2.56015691276439e-09,7.56493002686844e-07,"Up"
"LIMD1-AS1",0.949190806472858,5.84228590791028,2.57815440345614e-09,7.56493002686844e-07,"NA"
"FCGR1CP",1.08656152015765,5.60551841726004,2.63027385597808e-09,7.60266917833903e-07,"Up"
"CDHR5",-0.807100001290398,5.54602780880798,3.33681116889695e-09,9.50304192600858e-07,"NA"
"FOXO6",-0.961493343694589,5.14136262783726,3.8888659694291e-09,1.09117241499481e-06,"NA"
"AC084876.1",1.10618679966777,5.51277424506776,3.94413245118439e-09,1.09117241499481e-06,"Up"
"AC006486.1",1.30324718084766,5.26274158403367,4.20843858835063e-09,1.14789608030984e-06,"Up"
"AC068831.4",1.1198565588368,5.52401205625965,4.35207142265018e-09,1.17058632182005e-06,"Up"
"HIST1H2AK",1.18064851252958,5.40138232741401,4.51222277524859e-09,1.18620896285136e-06,"Up"
"ADRA2B",-0.869003976741793,5.34957037746538,4.53265843493756e-09,1.18620896285136e-06,"NA"
"AC113208.2",-1.11185334766709,4.83182478808826,5.13389694099916e-09,1.3256406421252e-06,"Down"
"RNVU1-14",1.26607054292233,5.27628362039072,5.43517973576997e-09,1.3849696153016e-06,"Up"
"FCGR1B",0.917402220949443,5.85086150826094,5.74179792871386e-09,1.44409946347367e-06,"NA"
"AC073592.3",-0.837812697429094,5.4104172606769,6.94572413218637e-09,1.72449863517848e-06,"NA"
"LINC00671",-1.08167058165345,4.84766522994128,7.62104255894455e-09,1.86821658476608e-06,"Down"
"AC090617.3",1.14494411329106,5.45388521702275,7.77427249099103e-09,1.88195701325665e-06,"Up"
"AL359095.1",1.15886662903882,5.40535992439776,8.06375519083988e-09,1.92793435834327e-06,"Up"
"CDKN3",0.970892897516289,5.71623231561601,8.26587962146749e-09,1.95215883840658e-06,"NA"
"SRCIN1",-0.932921762254059,5.15754421740147,1.03315819135008e-08,2.38380777953477e-06,"NA"
"STEAP1B",1.32852211097816,5.18510239533145,1.03397631664216e-08,2.38380777953477e-06,"Up"
"AP003696.1",1.08082696178421,5.47454786865893,1.35187382309283e-08,3.08004570094304e-06,"Up"
"AL645922.1",0.854765710211281,5.94195062776801,1.42477867872151e-08,3.20840277815358e-06,"NA"
"AC012181.2",1.03645357403968,5.56109542301557,1.46370419987774e-08,3.25817190055544e-06,"Up"
"LINC02605",1.01891492285662,5.60114468156271,1.54516267344775e-08,3.40041140158967e-06,"Up"
"HAUS1P1",1.27496568783957,5.2168214981123,1.57727014404892e-08,3.43206894490465e-06,"Up"
"KBTBD8",0.878644073278108,5.87593486244,1.67907823489935e-08,3.58620291010414e-06,"NA"
"KIF14",0.969050730116696,5.70181684068446,1.69980635703839e-08,3.58620291010414e-06,"NA"
"TRIM74",-1.05681522537029,4.95799328614822,1.70365933971693e-08,3.58620291010414e-06,"Down"
"AC006001.2",-0.935504419675618,5.11159581712198,1.74312580437524e-08,3.59777466897374e-06,"NA"
"AL359885.1",1.06720659943788,5.48600556267192,1.76402454244439e-08,3.59777466897374e-06,"Up"
"SERPINI2",1.06844004941828,5.49997592130229,1.76488998013273e-08,3.59777466897374e-06,"Up"
"MELK",1.01231326417705,5.59708405514099,1.8244612846664e-08,3.64841133274417e-06,"Up"
"S100A8",0.741641542168737,6.21187551607626,1.82740834078377e-08,3.64841133274417e-06,"NA"
"AC098869.2",1.22926546517821,5.26708358181094,2.00100200680766e-08,3.95422498610583e-06,"Up"
"AL096816.1",1.16078332499456,5.33715944481232,2.06870881207409e-08,4.02035278149195e-06,"Up"
"AL512504.1",1.22022310477607,5.28461348271148,2.07722230353355e-08,4.02035278149195e-06,"Up"
"TRGC1",1.15242158818289,5.35328258510621,2.11658905467294e-08,4.02035278149195e-06,"Up"
"MUC6",-0.735120636682357,5.66830182792566,2.11750482139925e-08,4.02035278149195e-06,"NA"
"MTND4P12",-0.853764334509623,5.29812410638627,2.15200613181312e-08,4.04618939307698e-06,"NA"
"PPP1R14A",-0.901866619129575,5.18930427368284,2.30900588994966e-08,4.2996353908428e-06,"NA"
"AC015911.3",1.14717151757738,5.36722056855271,2.36381861511468e-08,4.35978202860103e-06,"Up"
"AC013444.1",1.07090550422384,5.49250293843257,2.49209125129101e-08,4.55300369551903e-06,"Up"
"AC022973.3",1.19008185572369,5.29868107069728,2.58929398003312e-08,4.68638011376836e-06,"Up"
"BRSK2",-0.843693682694189,5.32990641000185,2.6485788973528e-08,4.69111358569575e-06,"NA"
"AC023825.1",1.10852673952219,5.39846000099276,2.66026695249163e-08,4.69111358569575e-06,"Up"
"NUF2",1.04977369298283,5.52062476727873,2.68767571591297e-08,4.69111358569575e-06,"Up"
"RPL26P19",1.29222773832279,5.18601549508042,2.68880309827651e-08,4.69111358569575e-06,"Up"
"FCGR1A",0.784458373941964,6.05812698407911,2.78889293345639e-08,4.82229469190326e-06,"NA"
"THEMIS",0.87685542961999,5.8457364302787,2.82835151007582e-08,4.84724383576356e-06,"NA"
"AP000462.1",1.22536917934679,5.25965478792002,2.92623621389232e-08,4.97100794019637e-06,"Up"
"NCAPG",0.884499145083357,5.78712513142808,3.39724200862282e-08,5.67107627468572e-06,"NA"
"AD000671.1",1.2343738459849,5.31639848110789,3.42017773146519e-08,5.67107627468572e-06,"Up"
"AC069148.1",-0.987189241506805,4.95431597627353,3.42618983857394e-08,5.67107627468572e-06,"NA"
"AC013444.2",1.05987674232654,5.4568998621376,3.53155608049233e-08,5.76992284147441e-06,"Up"
"AC134669.1",0.943942459404688,5.67656960940048,3.55741778747685e-08,5.76992284147441e-06,"NA"
"AC011472.3",1.01104215195867,5.57040536971072,3.58713299657858e-08,5.76992284147441e-06,"Up"
"TRHDE-AS1",-0.662393335073972,5.89269659594822,3.6050844976681e-08,5.76992284147441e-06,"NA"
"DOK7",-0.955060180946037,5.02530098474644,3.75046462267959e-08,5.91890859864589e-06,"NA"
"HIST2H2AA3",0.758021395637199,6.10731419646248,3.75929855227432e-08,5.91890859864589e-06,"NA"
"AC037487.2",1.07850998763467,5.43822924914713,3.85137459597134e-08,6.01497745367588e-06,"Up"
"NYAP1",-1.0247101714216,4.8722151590883,3.92105406471206e-08,6.0748106413771e-06,"Down"
"SNORA74A",0.70924794778487,6.24766685038117,4.12674948827652e-08,6.34274845952089e-06,"NA"
"GPT",-0.77967309751676,5.48416858449295,4.37040425410828e-08,6.6643502980363e-06,"NA"
