"logFC","logCPM","PValue","FDR","topDE"
-1.60162515317078,4.92359003586291,5.56488025563245e-30,1.07769471030578e-25,"Down"
2.4808687914421,5.14986353547463,4.28317386384246e-26,4.14739725235865e-22,"Up"
1.82676539556016,5.50104921921257,9.01718799253281e-25,5.82089542211301e-21,"Up"
1.31578473108654,5.93671580041274,1.25047492815688e-22,5.51765269465051e-19,"Up"
1.45017739509807,5.74628375706147,1.42457210953488e-22,5.51765269465051e-19,"Up"
2.64843972203679,5.39907226046862,1.71515452386811e-22,5.53594708487162e-19,"Up"
-1.46662055698527,4.79653833565248,1.18466913563135e-21,3.27747178294811e-18,"Down"
1.47513146529871,5.56160145132351,9.99648458783643e-20,2.4198990066005e-16,"Up"
1.25754359495091,5.78887638590547,4.47911805432148e-19,9.6380666933322e-16,"Up"
-0.939878124961894,5.57703993188191,7.87302402272369e-18,1.52468983224067e-14,"NA"
1.33914942421486,5.60670693186741,1.0986395586598e-17,1.93420488118234e-14,"Up"
1.38199735916666,5.54242553747249,1.32820009533681e-17,2.14349358719105e-14,"Up"
1.33381910573796,5.56259465249356,3.93994442483785e-17,5.86930490241614e-14,"Up"
1.41214838195929,5.46383473032476,4.24984577195128e-17,5.87875094425775e-14,"Up"
-1.36582972291498,4.71331410834451,6.16897546464259e-17,7.96455858988456e-14,"Down"
-1.33164337223176,4.76376064606204,6.7775891841164e-17,8.20342450872488e-14,"Down"
1.28549582501376,5.57754152655529,1.64631550478616e-16,1.79491946443769e-13,"Up"
1.53562189896143,5.30026649551474,1.66831304140651e-16,1.79491946443769e-13,"Up"
1.38707963732568,5.44578692795751,2.05329841353813e-16,2.09285142508313e-13,"Up"
1.15801970527661,5.75241857899562,2.23785713660939e-16,2.16691706537888e-13,"Up"
1.31364185280186,5.50779089337992,3.18393696775218e-16,2.93619634845184e-13,"Up"
1.23369070962975,5.6199929386819,3.41085113138361e-16,3.00247922774432e-13,"Up"
1.64109436269,5.15561321401361,7.41458807726821e-16,6.24308316105983e-13,"Up"
1.70204942950482,5.10374708820963,1.13178444657037e-15,9.13255733011737e-13,"Up"
-1.16832266348366,4.94758916691032,1.42171818520309e-15,1.10131977498573e-12,"Down"
1.56060146797418,5.20510760391334,1.66170191999565e-15,1.23771228394753e-12,"Up"
0.978244725721003,5.95945234579564,3.67128811575907e-15,2.63326539443667e-12,"NA"
1.1689443447664,5.64018885754525,3.89281587351611e-15,2.69243829308975e-12,"Up"
1.45050756171354,5.27424402159287,4.44473478692106e-15,2.96816323736253e-12,"Up"
1.19593447614111,5.58070659194434,4.9250466963095e-15,3.17928181069099e-12,"Up"
1.47719446979857,5.25828182597118,5.6082385889511e-15,3.50352091979442e-12,"Up"
-0.948811563426257,5.35595207183915,5.92730670093126e-15,3.58713192406983e-12,"NA"
-0.90660297128129,5.45281365217565,7.85739235057866e-15,4.61109879579716e-12,"NA"
1.43653926793471,5.2660285692589,9.45079020171537e-15,5.38305891313e-12,"Up"
1.29539717564856,5.44564388955392,9.86890562794868e-15,5.46060646831012e-12,"Up"
1.01269184190536,5.8666761223029,1.02913297879769e-14,5.53616368538777e-12,"Up"
1.48867350036828,5.20672361298486,1.24250366481676e-14,6.50333134401116e-12,"Up"
0.794662055498224,6.35810279415641,1.61392150940102e-14,8.22505367133161e-12,"NA"
1.2762843530833,5.43455556669703,2.40892748148385e-14,1.19618691298503e-11,"Up"
1.28747789905871,5.38385681208399,4.20868566217672e-14,2.03763516334286e-11,"Up"
-0.927026519034142,5.33396025134809,6.24808256001072e-14,2.95122845993092e-11,"NA"
-1.19887896231019,4.79359065785693,6.89541893289281e-14,3.17944483462862e-11,"Down"
1.55672029050675,5.094721456548,8.08016279169032e-14,3.6390798284622e-11,"Up"
1.17600165160051,5.49436642212442,9.69531722946527e-14,4.26726166967783e-11,"Up"
-0.865042135273758,5.46519640947085,1.01818510882193e-13,4.38181618165454e-11,"NA"
1.12351330564035,5.57311623366351,1.18293018758757e-13,4.98013608974368e-11,"Up"
-1.07453323705354,4.98199475428691,1.32601197067839e-13,5.463733579608e-11,"Down"
1.31299206941595,5.29289304258536,1.80812507966049e-13,7.29503131098021e-11,"Up"
1.35797150903655,5.77080874187111,1.86357443510964e-13,7.36530255312923e-11,"Up"
1.225391132084,5.41769408557926,2.32635107115483e-13,8.9886049011539e-11,"Up"
1.39888924820693,5.21042754463218,2.36713234513502e-13,8.9886049011539e-11,"Up"
-0.804043524355528,5.61842658779127,2.54969848929032e-13,9.49566556607621e-11,"NA"
1.40419715746819,5.19317211651892,3.02601631876098e-13,1.10569494394576e-10,"Up"
1.34358958158837,5.23315169587736,3.31888886037073e-13,1.19025188277666e-10,"Up"
1.01192829063167,5.71430525045179,3.54597545278357e-13,1.24857019306558e-10,"Up"
0.84616762521407,6.06479110439986,4.25674171429406e-13,1.47207250069676e-10,"NA"
1.12553521201271,5.50604614763002,4.76860511806686e-13,1.62015450379795e-10,"Up"
-0.866709245882547,5.39073282502096,5.47039369029901e-13,1.82654558976432e-10,"NA"
1.24063130494593,5.36028403032879,6.23719157020038e-13,2.04727884658475e-10,"Up"
1.05438291112775,5.60692081187696,7.80972600804496e-13,2.52071923119665e-10,"Up"
1.1677274063061,5.4343554088276,9.0894820995396e-13,2.88568705474892e-10,"Up"
1.477246584019,5.07722342580515,9.31571052763427e-13,2.90980725932525e-10,"Up"
-1.09248765071506,4.96054454486805,1.05845154949276e-12,3.25364646150425e-10,"Down"
-1.03311926408149,4.98054804110951,1.12323343687812e-12,3.39883417790337e-10,"Down"
0.942681658883417,5.79914933578269,1.20168186099171e-12,3.58027244922545e-10,"NA"
0.975393287507789,5.7485766754885,1.40881969487119e-12,4.08219347626157e-10,"NA"
0.901507729082453,5.88773152229649,1.41230487921886e-12,4.08219347626157e-10,"NA"
1.1261766776672,5.470584281528,1.44445289374538e-12,4.11371687356956e-10,"Up"
1.46677207504329,5.30033808909001,1.52983356238304e-12,4.2937328650884e-10,"Up"
1.24476677814517,5.28656941260127,1.77964080367097e-12,4.92350340055601e-10,"Up"
1.02822571311725,5.62378422618206,1.88494037055842e-12,5.14137397411751e-10,"Up"
1.39084294790025,5.13988301917384,1.95097148672388e-12,5.21667183276787e-10,"Up"
0.989672076137667,5.68601881022362,1.96642075695577e-12,5.21667183276787e-10,"NA"
-0.834439534678895,5.4226772971831,2.14582643138496e-12,5.61568576624339e-10,"NA"
1.08955627678514,5.51572740177063,2.36897070918205e-12,6.11699823386927e-10,"Up"
1.39710159080428,5.54245132150744,2.44372602664205e-12,6.22699976736184e-10,"Up"
1.32321296038628,5.19035179723887,2.73739426461379e-12,6.88472432837801e-10,"Up"
1.01549760576331,5.60456256106398,4.17730385446687e-12,1.0346991271371e-09,"Up"
-0.945078591670601,5.11338016330306,4.22086290632196e-12,1.0346991271371e-09,"NA"
1.3009732152481,5.19624725439142,4.76766755563585e-12,1.15413312353055e-09,"Up"
1.1532293825096,5.38233891735491,4.94760201525074e-12,1.18290445218946e-09,"Up"
1.06268457442371,5.51318026734202,6.16640857943951e-12,1.45632522621251e-09,"Up"
1.26290224557301,5.21751515600905,6.94992922532394e-12,1.59127909877016e-09,"Up"
1.02654238813965,5.5704153046955,6.95506602546067e-12,1.59127909877016e-09,"Up"
1.12839004791183,5.40709817529494,6.98433973951585e-12,1.59127909877016e-09,"Up"
0.729893645459302,6.24055758987524,7.38288917347246e-12,1.66252362480776e-09,"NA"
1.06207672747752,5.50155506505618,7.49337656301839e-12,1.66800839677488e-09,"Up"
1.24579168930224,5.22879396305187,7.92019688941084e-12,1.73060626100622e-09,"Up"
0.912800649127063,5.7915390570087,7.95331804345519e-12,1.73060626100622e-09,"NA"
1.22930725874802,5.24081011101387,8.98523837405162e-12,1.91271009324262e-09,"Up"
1.01246484851601,5.56717758883976,8.98774235696987e-12,1.91271009324262e-09,"Up"
1.05834189504095,5.48839023360778,9.10396551931768e-12,1.91638474181637e-09,"Up"
1.19564955927329,5.28786358873421,9.73377700275803e-12,2.0269282304883e-09,"Up"
0.71844233157249,6.2476823914082,1.08464487138664e-11,2.23459921056103e-09,"NA"
1.16652764518661,5.32807893591306,1.61701233263477e-11,3.28832756901187e-09,"Up"
-0.989988020693798,4.98542849716192,1.63007046692729e-11,3.28832756901187e-09,"NA"
-0.838570854792086,5.332570199672,1.67661949176986e-11,3.34736217295001e-09,"NA"
0.989040062373772,5.59656315788608,1.6955004675683e-11,3.35051653621711e-09,"NA"
1.10764491213573,5.40552630666125,1.72134284892448e-11,3.36722480932035e-09,"Up"
0.966182516034839,5.63134941860852,1.88061137788463e-11,3.64199199441137e-09,"NA"
1.18526061432625,5.29010275382505,1.91958034205833e-11,3.67243869122003e-09,"Up"
1.01432916922536,5.52907043173075,1.93425976714057e-11,3.67243869122003e-09,"Up"
0.966345570880956,5.62128003887945,2.12010756225764e-11,3.98621388841568e-09,"NA"
0.988600370849174,5.57400246167738,2.33016618995683e-11,4.33903831102923e-09,"NA"
0.969405691906628,5.61871803067398,2.49843067225083e-11,4.60805794274377e-09,"NA"
0.977473647634127,5.59884662187346,2.69212216717968e-11,4.85039386348903e-09,"NA"
-3.50073562731213,4.35752921694734,2.70090138476837e-11,4.85039386348903e-09,"Down"
-0.99890676531144,4.93597287887941,2.70495991560888e-11,4.85039386348903e-09,"NA"
